Date,Open,High,Low,Close,Adj Close,Volume,MA_30,MA_90,Daily_Return,Volatility,Year,Month,EMA_30,Lag_1,Lag_2,Lag_3
2015-08-07,114.580002,116.25,114.5,115.519997,106.753654,38670400,119.19399949999999,125.57079972,0.003387475116498173,4.475468854819386,2015,8,122.80875234968033,115.129997,115.400002,114.639999
2015-08-10,116.529999,119.989998,116.529999,119.720001,110.634941,54951600,118.8889999,125.35959976,0.03635737629044433,4.498259405162919,2015,8,122.6094780690558,115.519997,115.129997,115.400002
2015-08-11,117.809998,118.18,113.330002,113.489998,104.877724,97082800,117.9,125.01859986,-0.05203811349784404,4.8521170504235105,2015,8,122.02112451621349,119.720001,115.519997,115.129997
2015-08-12,112.529999,115.419998,109.629997,115.239998,106.494896,101217500,117.125,124.72419968,0.015419861052424988,5.041545505098253,2015,8,121.5836324829094,113.489998,119.720001,115.519997
2015-08-13,116.040001,116.400002,114.540001,115.150002,106.411743,48535800,116.40299990000001,124.42479982,-0.0007809441301794839,5.178015381309721,2015,8,121.16855954852815,115.239998,113.489998,119.720001
2015-08-14,114.32,116.309998,114.010002,115.959999,107.160263,42929500,115.8689995,124.15679978,0.007034276907784909,5.252550862847909,2015,8,120.83252338410698,115.150002,115.239998,113.489998
2015-08-17,116.040001,117.650002,115.5,117.160004,108.269211,40884700,115.7409997,123.92699998,0.01034843920617834,5.274191608338825,2015,8,120.59558664964847,115.959999,115.150002,115.239998
2015-08-18,116.43,117.440002,116.010002,116.5,107.659302,34560700,115.9269998,123.70099992,-0.005633355901899728,5.307622710129359,2015,8,120.33135525289696,117.160004,115.959999,115.150002
2015-08-19,116.099998,116.519997,114.68,115.010002,106.282379,48286500,115.88799979999999,123.45280000000001,-0.012789682403433478,5.433056429187568,2015,8,119.98804213980684,116.5,117.160004,115.959999
2015-08-20,114.080002,114.349998,111.629997,112.650002,104.101456,68501600,115.6400003,123.12819994000002,-0.020519954429702558,5.652974921581023,2015,8,119.51462019530317,115.010002,116.5,117.160004
2015-08-21,110.43,111.900002,105.650002,105.760002,97.734299,128275500,114.66400080000001,122.67160006,-0.06116289283332632,6.27962900763585,2015,8,118.62722547302555,112.650002,115.010002,116.5
2015-08-24,94.870003,108.800003,92.0,103.120003,95.294647,162206300,113.00400099999999,122.19060016000002,-0.024962168589974132,6.943926697755005,2015,8,117.6267595070239,105.760002,112.650002,115.010002
2015-08-25,111.110001,111.110001,103.5,103.739998,95.867607,103601600,112.029001,121.72700016,0.006012364060928199,7.42934403771234,2015,8,116.73083940979656,103.120003,105.760002,112.650002
2015-08-26,107.089996,109.889999,105.050003,109.690002,101.366074,96774600,111.47400139999999,121.36880024,0.057354965439656125,7.4607493712572435,2015,8,116.27659183497097,103.739998,103.120003,105.760002
2015-08-27,112.230003,113.239998,110.019997,112.919998,104.350983,84616100,111.251001,121.08120014,0.029446585295896055,7.270290462587655,2015,8,116.0600373940051,109.690002,103.739998,103.120003
2015-08-28,112.169998,113.309998,111.540001,113.290001,104.692871,53164400,110.98400120000001,120.78940022,0.0032766826651908776,6.963171384185641,2015,8,115.88132536858542,112.919998,109.690002,103.739998
2015-08-31,112.029999,114.529999,112.0,112.760002,104.20311,56229300,110.54400100000001,120.51260030000002,-0.004678250466252587,6.422395343671575,2015,8,115.67994966738635,113.290001,112.919998,109.690002
2015-09-01,110.150002,111.879997,107.360001,107.720001,99.54557,76845900,109.66600109999999,120.11480030000001,-0.044696709033403614,6.045164388339408,2015,9,115.1664045920711,112.760002,113.290001,112.919998
2015-09-02,110.230003,112.339996,109.129997,112.339996,103.81498,61888800,109.39900050000001,119.82100023999999,0.04288892459256477,5.812590867677975,2015,9,114.98405565064715,107.720001,112.760002,113.290001
2015-09-03,112.489998,112.779999,110.040001,110.370003,101.994484,53233900,109.1710006,119.46620028,-0.01753598958646929,5.584295757218983,2015,9,114.68637483447637,112.339996,107.720001,112.760002
2015-09-04,108.970001,110.449997,108.510002,109.269997,100.977966,49996300,109.52200009999999,119.10160022,-0.00996653048926699,5.376233509140692,2015,9,114.33693110321983,110.370003,112.339996,107.720001
